,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,node_type
unsure,0.04710636,0.086859696,0.04142788,0.028580423,0.04332531,0.08137456,0.0616603,-0.041474387,-0.05348096,0.04235851,-0.059352934,-0.04628245,-0.06991146,0.0050177225,-0.09959732,-0.019457718,-0.22486356,-0.08820903,0.19288678,0.16080093,0.24370405,0.14889649,0.22636427,-0.022924207,0.16261114,-0.048120942,0.027918851,0.04400982,0.05166894,0.021820296,0.0741113,-0.056176074,0.021127852,-0.045283586,-0.018083667,0.0144715505,0.11394761,0.044792525,0.027817646,-0.0363744,-0.025645941,0.0075203436,0.0018134281,-0.18022825,0.12314312,0.096926294,-0.108821765,-0.075698875,-0.01670999,0.02677531,-0.186837,0.05541602,0.11341812,0.0318606,-0.0367994,0.03442896,0.11751794,-0.19296367,-0.101315476,0.16714963,-0.09077895,-0.10149553,-0.028599469,0.12172365,stance
pro-Ukraine,0.052470725,-0.012882612,-0.01760183,0.051176336,0.054099154,-0.24468724,-0.02288339,-0.024619907,-0.056638476,0.0130858645,0.07641748,0.04346701,-0.09935133,0.0071250703,0.036700044,-0.011581145,0.02495979,-0.09524184,-0.05436288,0.27893835,0.22895731,0.24497445,0.060504846,-0.13084288,0.117741324,0.09928453,-0.12624912,0.0074137524,0.23309562,-0.010285491,-0.024441343,0.0694652,-0.11287325,0.06969708,-0.18203759,0.025550958,0.07267113,-0.060441405,0.12999846,-0.043263275,-0.06310321,0.1750629,-0.002263432,0.04981789,0.102833375,-0.046769112,0.09386787,0.032589924,0.10066439,0.10946798,0.028862072,0.111566976,0.11766697,0.06813919,0.17862864,0.12638888,0.045451064,-0.122991264,0.17514953,0.115286894,-0.03998272,-0.09283046,-0.12377072,-0.09170177,stance
pro-Russia,0.021234496,0.048582282,0.11105882,-0.04488479,-0.022436533,-0.09535342,0.18549147,0.07996349,0.1651525,0.06926852,0.2470544,-0.07023396,-0.026013955,-0.08146981,-0.08141842,-0.022753235,-0.011158909,0.016076345,0.11530298,0.12513275,-0.11891269,0.3195656,0.21833406,-0.008727966,0.10677741,0.19064447,-0.017194869,0.020004354,0.14566159,-0.12991117,0.06603434,-0.20558932,-0.18610342,-0.14548022,-0.13274057,-0.2169691,0.0832044,0.03965995,0.1966516,0.024255764,0.090458766,-0.0747197,0.111005634,-0.019289535,-0.1361158,-0.070066705,-0.027069932,-0.13010785,-0.16454937,0.15166444,0.026994102,0.14597726,0.17237349,0.027548095,0.20190418,0.26606816,-0.07135931,-0.0548341,0.21544258,-0.16254844,0.0568364,-0.09640304,-0.08653627,-0.1424859,stance
Slovakia,0.12920238,-0.113093674,-0.10989818,0.037584834,-0.14416982,0.23179257,-0.03735075,0.089707084,-0.11116209,-0.3785378,-0.17320125,-0.12465382,-0.32484028,0.13479204,0.14015526,0.28121567,-0.013653416,-0.041466586,0.0025775034,0.19023457,-0.045024987,0.121715106,0.14044206,-0.053758286,0.018985786,-0.0745585,-0.047986817,0.09460069,-0.10874802,-0.065072775,0.10491807,-0.1696869,-0.043894228,-0.065936804,-0.11705042,0.014509922,0.05531666,-0.013164674,0.11146265,0.018487278,-0.06358027,-0.28096303,0.05274058,0.10343524,-0.03601929,0.13241732,-0.024329957,-0.24505429,0.20378402,0.2196465,-0.33804333,0.16717958,0.09643778,0.035010323,-0.006557618,0.045862246,0.077467486,-0.15808477,0.086719714,-0.03979084,-0.012528476,-0.01227816,-0.21637544,0.12811673,country
Italy,0.15413296,-0.15272056,0.018201858,0.06750042,0.00887568,-0.099644765,-0.008097797,0.09121523,-0.070679836,-0.08590125,-0.06807936,-0.26297387,-0.20060545,0.030662792,0.031677794,0.19688536,-0.095083095,-0.14320673,0.008754546,0.017570069,0.082756266,0.11627552,0.12193588,0.03363813,0.003173239,-0.06351131,-0.03661772,0.050655853,0.025257122,-0.039884325,0.06392413,-0.06370365,-0.085922085,0.07483803,-0.14171346,0.025909478,0.05028995,0.07351836,0.10967201,0.025273426,-0.17346433,-0.061976783,0.0056543997,-0.06604012,-0.0015358167,-0.023273727,0.0019737622,-0.1407373,0.09073985,0.1206544,-0.04048258,0.12599638,0.06074732,0.07025164,0.026137764,0.010098048,0.07752314,-0.090737924,0.053885236,0.02398771,0.0147955455,-0.10217996,-0.13630478,0.1006371,country
India,-0.07877763,0.11572394,0.14386496,-0.13093211,0.15247583,-0.17978211,0.05982951,0.2205754,0.13450041,0.042000037,0.22789578,-0.17361046,-0.17172971,0.046901908,-0.0029825494,0.07241909,-0.021643223,-0.16949141,-0.089779206,0.17541161,-0.039558854,0.057399504,0.14769211,0.09643398,0.17727078,-0.009531336,0.013440465,0.13607429,0.09810855,-0.09178986,0.082003504,-0.09675848,-0.017951166,0.036880344,-0.08732771,0.08256069,-0.024464523,0.07455263,0.126647,0.23252979,-0.14193007,0.11595294,0.02079074,-0.29266125,-0.049408495,0.17874385,-0.1429316,-0.114831544,0.032558493,-0.03792307,-0.011561938,0.1037783,0.2072113,-0.017010767,-0.11684389,0.087661,0.08181369,-0.0537798,0.060891647,0.0846093,-0.08379012,-0.24509487,0.09658357,0.084726766,country
Czech Republic,0.006766856,-0.016419336,0.033242237,0.047516156,0.046760786,-0.032091174,-0.015479806,0.0049640806,-0.18363398,-0.16032495,-0.008697475,-0.20841582,-0.2276624,0.08133245,-0.020720894,0.1998482,-0.06558749,-0.081321076,0.034756176,0.10977997,0.17974226,0.06387659,0.014200435,-0.0250726,0.056825843,-0.09904421,-0.059227318,-0.058876295,0.03460867,0.025749436,0.101959,-0.15927376,-0.13021864,0.015115051,-0.06091024,-0.081841394,0.12064793,-0.07269347,0.043864,0.1482825,-0.06313555,-0.13284905,0.070452206,-0.09749842,0.0383389,-0.025778074,0.033890292,-0.16690862,0.03153475,0.20035276,-0.09832454,0.08652258,0.01404945,0.025969697,0.071733594,0.08013249,-0.0029587517,-0.074140444,0.03027134,0.076898724,-0.07046576,-0.09209418,-0.07974015,-0.035836615,country
France,-0.036561973,-0.13735189,0.12784846,0.035071082,0.01472629,-0.04984838,0.05502379,-0.04896704,-0.11910977,-0.21248958,0.033266447,-0.14890726,-0.19481009,-0.06939817,0.073505394,0.2938032,-0.034642477,-0.15369357,0.0074493475,0.039192017,0.10336477,0.103378996,0.2003065,-0.04319769,0.0008658613,-0.006753848,0.02452217,-0.0009392266,0.07650272,0.02720562,0.06961948,-0.07409763,-0.081082806,-0.08157417,-0.010170205,-0.07744758,0.06372533,-0.07912579,0.10148855,0.07286272,0.020494316,-0.16735008,0.025016082,-0.077367656,0.035748605,0.02229634,-0.01198695,-0.14359453,0.062110532,0.1808266,-0.14841561,0.024728118,-0.0020058455,-0.055057094,0.030247137,0.09497904,0.015416046,-0.06947941,-0.02666377,0.056699056,0.013920536,-0.027787969,-0.07587014,-0.0029038968,country
Ukraine,-0.013718569,-0.17963853,-0.001086574,0.0353477,0.084956676,-0.08989158,0.09892944,-0.0070380126,-0.14835547,-0.11360633,-0.019495139,-0.23868066,-0.1755673,0.058553565,0.0765738,0.19277652,-0.093001194,-0.11357717,-0.03628983,0.069667086,0.15783805,0.09908801,0.13175577,-0.07259615,-0.05450373,-0.0346273,-0.08276695,-0.01491748,0.024976505,-0.054959472,0.0712629,-0.17705588,-0.13419823,-0.083621,-0.008385244,-0.08054132,0.07455716,-0.0022382399,0.13367149,-0.05690408,-0.0834797,-0.13900563,0.07622273,-0.07998074,0.009485093,-0.07084184,-0.04253658,-0.14361869,0.052949317,0.20955598,-0.029722823,0.038380027,0.038497683,0.021551963,0.028569102,0.0017949973,-0.034046173,-0.12683704,0.05837589,-0.051380396,0.07122478,-0.11815167,-0.047886476,-0.028869517,country
Nepal,-0.071111605,0.21144463,0.122993834,-0.13936612,-0.033942606,0.00913887,0.0172293,-0.0062537724,-0.08327879,0.020839535,0.29518014,-0.043075133,-0.1467513,-0.047041073,0.035672992,0.13135132,-0.052179474,-0.07486287,-0.111587174,0.16169608,-0.06308106,0.009072617,0.028848542,0.16330066,0.0903096,-0.07582766,-0.08266664,0.20800246,0.16852106,-0.023699421,0.10410813,-0.029056052,0.065553956,0.0060389517,-0.052827023,0.06477076,-0.06492863,-0.1314305,0.09173342,0.32194096,-0.116826795,0.04036944,0.014206219,-0.27599075,0.00564706,0.11079842,-0.13457227,-0.014661768,-0.058075838,0.028174378,-0.08503415,0.09951499,0.33963573,-0.007205466,-0.07767558,0.058405686,0.103549674,-0.33771563,0.029950496,0.16336566,-0.05288964,-0.2155754,-0.09755328,0.111758865,country
Japan,0.04170212,0.13838758,0.19046727,-0.12227672,0.1099659,-0.15976574,0.13535823,0.09540172,0.067432106,0.08004302,0.3170231,-0.22026269,-0.08062818,-0.012857318,0.065586455,0.04436869,0.05127611,-0.124916,-0.08943296,0.19069117,-0.05073972,-0.07240863,0.12137663,-0.006282969,0.19148114,0.05595693,-0.08692179,0.103753716,0.13076898,-0.10116759,-0.013102821,-0.045436475,-0.005629977,-0.03003623,-0.014954982,0.03106013,-0.1375058,-0.009318071,0.087123156,0.11924787,-0.06812527,0.12119946,-0.016956389,-0.2374661,-0.017177107,0.038520783,-0.09586795,-0.11289227,0.017782522,0.025459707,0.055588983,0.15430821,0.1502566,0.049317576,-0.04765054,0.054526154,0.021899823,-0.16286364,0.09210457,0.15935646,-0.15830661,-0.21565862,-0.06470779,0.06283425,country
United States of America,0.012702458,-0.18126018,0.28122458,-0.004917637,0.015148559,-0.16487832,-0.15461877,0.020293523,0.18525982,0.019588504,-0.037181504,-0.16963275,-0.07737751,-0.053009972,-0.10160552,0.01095013,-0.13095759,0.074773334,0.1067303,0.15421739,0.24124539,-0.021077503,0.25330397,-0.21835472,0.14516911,-0.05139688,-0.118537135,-0.10860047,0.118489265,-0.18678728,-0.18271026,0.0730182,-0.062692456,0.12325087,-0.007831267,0.03650215,-0.043935664,0.11599122,0.111309335,0.1550136,0.1528782,-0.15158229,0.07652941,-0.16233277,-0.15996504,0.007970447,-0.00047887967,0.022350628,-0.03620269,-0.09031038,-0.0087674735,0.034840092,0.103490695,0.09808084,0.002789609,0.077217184,-0.1602337,-0.061796043,-0.0171139,0.0946221,-0.028874608,-0.059680894,0.040315162,0.14848845,country
Azerbaijan,-0.04266379,0.13885643,0.07522274,-0.15337774,0.10719751,-0.08568487,0.13155156,-0.024280956,-0.016214162,0.056078278,0.27304754,-0.13556372,-0.19296221,0.00033353936,-0.0011077066,0.054178465,-0.063376024,-0.13133103,0.056834165,0.15984936,-0.05447119,-0.05736064,0.066852525,0.0118623525,0.1563673,0.045683384,-0.108098,0.13726972,0.10015925,-0.06941617,0.08570025,-0.06531218,-0.1368558,0.027008235,-0.15936607,0.03470471,-0.12751794,-0.0065348074,0.14285408,0.28451452,-0.0708398,-0.025659105,-0.074665874,-0.2945967,-0.1027296,0.083054535,-0.06293082,-0.110081434,0.031690266,-0.03087936,-0.01725192,0.068144746,0.33460522,-0.023785785,-0.114802115,0.1477004,0.11389653,-0.12502365,0.06995284,0.051661234,-0.034998346,-0.063444786,-0.013235008,0.04089955,country
South Africa,-0.13868417,-0.22716404,-0.03481862,-0.02224323,0.17780289,-0.123576574,0.101554975,0.20327882,-0.057369217,-0.06787549,0.11421001,-0.034196973,-0.47019163,0.09998819,0.072786324,0.021298144,0.05734602,0.17533678,0.13753179,0.19541077,0.10083079,0.034210436,0.094517946,0.00048859575,0.056541782,-0.040945653,0.12704019,0.10457664,0.110110104,0.062257595,-0.13443597,-0.19467781,-0.0024420712,-0.14063227,-0.12154166,-0.08300573,-0.04709268,0.28377172,0.005546371,-0.20979328,0.055406634,0.096741624,0.08701276,-0.16329685,0.26191843,-0.15858418,0.049467158,0.04630046,-0.24185334,-0.052139092,-0.08683928,-0.0076531097,0.3051923,0.18485081,0.18749174,0.17455953,0.050802667,0.044777397,-0.18932453,0.12458342,-0.061588198,-0.05487088,-0.08278476,0.058371164,country
South Korea,-0.06503397,0.19332504,0.08669674,-0.12329361,0.010719725,-0.08556908,0.16419302,-0.005455974,0.032950655,0.12821695,0.36897126,-0.13997032,-0.09167533,0.028062169,-0.028520962,0.074023195,-0.061640993,-0.15243801,-0.05003081,0.19922926,-0.10525651,-0.025245054,0.046748936,-0.001558925,0.08163461,-0.030026728,-0.058484364,0.017750312,0.048643984,-0.055954438,0.10208177,-0.017916724,-0.11663896,-0.0052661444,-0.12452884,0.004267474,-0.03543828,0.1148655,0.055989187,0.16083804,-0.052775703,0.04343274,-0.008473743,-0.32037264,-0.10080462,0.11685165,-0.17132826,-0.12431538,0.121645704,0.0744371,0.00900747,0.03369326,0.23189883,0.08536335,-0.026270863,0.04248982,0.0017481133,-0.19604798,0.035727426,0.079653144,-0.14913237,-0.18476257,-0.06771083,0.06487431,country
Latvia,0.13296665,-0.20120117,-0.047523562,0.11980127,-0.04544548,0.14767078,0.17395258,0.123893596,-0.10455333,-0.3852956,-0.24051937,-0.13830338,-0.20524292,0.056234643,0.03650959,0.32037976,-0.085497886,-0.09805754,0.04843636,0.050668105,0.021671701,0.10208947,0.1121299,-0.0016026001,0.12346643,0.040134694,-0.011094395,0.043845925,-0.15891904,-0.11760688,0.14494547,-0.06890535,0.04131246,-0.078708075,-0.11509183,0.024977406,0.03482683,0.024500104,0.105045624,0.10351507,-0.18761557,-0.26238993,0.0022101298,0.096769385,0.021000925,0.037080694,-0.11184189,-0.32278103,0.056691192,0.16805322,-0.22525312,0.11036618,0.15311761,0.042301573,-0.027455337,0.022989005,-0.0356086,-0.107571036,0.08255486,-0.11495559,-0.023019053,-0.08394654,-0.17484222,0.2571381,country
Saudi Arabia,0.13171385,-0.051295385,0.16709942,-0.056674242,-0.086039685,-0.17600922,0.027289854,0.12350492,-0.08926276,-0.04672552,0.17945479,-0.13606955,-0.06699697,-0.076555565,-0.04697606,0.054132644,-0.1385955,0.1132741,0.07299273,0.23135847,0.041641116,0.15982485,0.09593806,-0.12433671,0.13120462,-0.18898791,0.011940876,0.1323665,0.03602652,0.09185769,0.24835399,-0.019882146,-0.016451333,-0.02623652,-0.2491814,-0.0052045346,0.018301645,0.1628704,0.17434908,-0.0016885396,0.16393213,-0.019039199,0.07117233,-0.22189716,0.07524954,0.046964455,-0.042469453,-0.082972646,0.013172023,-0.09523985,0.1299775,-0.034663018,-0.13662778,-0.09701322,-0.11681736,0.009502979,0.13859484,-0.11398086,-0.027222667,0.062220436,0.081962995,0.020552447,-0.12881069,0.0034918215,country
United Arab Emirates,0.015622212,-0.028883783,0.17783214,0.042431574,-0.23286971,-0.22473809,0.10231136,0.059019808,-0.16488734,-0.017119393,0.21509378,-0.07023887,-0.011961031,-0.08536685,0.007245882,0.07360697,-0.1083529,0.080451846,0.13413072,0.12735201,0.093737006,0.17236124,0.029247781,-0.16131584,0.18104583,0.0040286705,-0.09423198,0.0009835623,0.08215565,0.033315953,0.18898593,0.08452786,-0.17768878,-0.06414769,-0.23940314,0.107799284,0.026272021,0.16912204,0.09185398,-0.0814644,0.081936546,-0.06010737,0.015127398,-0.03581503,-0.024178889,-0.051352177,0.085902095,-0.08870195,-0.1599898,0.044830978,0.13473675,-0.16200334,0.018371006,-0.17821972,-0.08121696,0.09485392,0.12909651,-0.062855534,0.06024626,0.08523906,-0.04152268,-0.026001833,-0.14791998,-0.05243663,country
